Name_kurz	Name	BTS_Name	x_Wert	y_wert	Gelaendehoehe	Status	BTS_Konfig	TOC	Swap	Barring	NumAntennas	Azimuth	Antenne	Anthoehe	Beam	v_Beam	Tilt	el_Tilt	eff_Tilt	Azimuth2	Antenne2	Anthoehe2	Beam2	v_Beam2	Tilt2	el_Tilt2	eff_Tilt2	CI	LAC	CI_LAC	BCC	NumTRX	BCCH	TRX2	TRX3	TRX4	TRX5	TRX6	OMC_Datum	OMC_BCC	OMC_TRX1	OMC_TRX2	OMC_TRX3	OMC_TRX4	OMC_TRX5	OMC_TRX6	OMC_TRX7	OMC_TRX8	Ant_Freq_Band	TOC_Freq_Band	Grenze	Kanalanz_Grenze	ORT	STRASSE	GEBAEUDEART	Funknetzplaner	Funknetzoptimierer	Field_Force	Baukoordinator	StO_Nr	Kategorie	Systemtechnik	UMTS_NE
30C	305300030C	305300030C:sector2	3366759	5705169	81	100	Kein MHA	TOC	not_defined	D1-Barring	1	120	K 739_707	20	89	7	0	2	2									25030	31101	25030_31101	7	1	663																GSM 1800	D (DCS1800)			Essen	Krayer Straße 218	Wohnhaus	Thorsten Krüger	Dirk Fischer	Herr Frank Kowalski	Herr Peter Wasserek	345990589	On Air	?	-
30C	305300030C	305300030C:sector3	3366759	5705169	81	100	Kein MHA	TOC	not_defined	D1-Barring	1	240	K 739_707	20	89	7	0	2	2									45030	31101	45030_31101	5	2	720	676															GSM 1800	D (DCS1800)			Essen	Krayer Straße 218	Wohnhaus	Thorsten Krüger	Dirk Fischer	Herr Frank Kowalski	Herr Peter Wasserek	345990589	On Air	?	-
31A	305300031A	305300031A:sector1	3365672	5706005	90	100	Kein MHA	TOC	not_defined	D1-Barring	1	0	K 739_707	14	89	7	2	2	4									5031	31101	5031_31101	7	2	651	681															GSM 1800	D (DCS1800)			Essen	Berkenkampmühle 6	Wohnhaus	Thorsten Krüger	Dirk Fischer	Herr Frank Kowalski	Frank Wenner	345990084	On Air	?	-
31A	305300031A	305300031A:sector2	3365672	5706005	90	100	Kein MHA	TOC	not_defined	D1-Barring	1	120	K 739_707	14	89	7	2	2	4									25031	31101	25031_31101	3	2	659	679															GSM 1800	D (DCS1800)			Essen	Berkenkampmühle 6	Wohnhaus	Thorsten Krüger	Dirk Fischer	Herr Frank Kowalski	Frank Wenner	345990084	On Air	?	-
31A	305300031A	305300031A:sector3	3365672	5706005	90	100	Kein MHA	TOC	not_defined	D1-Barring	1	240	K 739_707	14	89	7	2	2	4									45031	31101	45031_31101	4	2	706	643															GSM 1800	D (DCS1800)			Essen	Berkenkampmühle 6	Wohnhaus	Thorsten Krüger	Dirk Fischer	Herr Frank Kowalski	Frank Wenner	345990084	On Air	?	-
32A	305300032A	305300032A:sector1	3367907	5705358	91	100	Kein MHA	TOC	not_defined	D1-Barring	1	0	K 739_707	17	89	7	2	2	4									5032	31101	5032_31101	5	2	649	655															GSM 1800	D (DCS1800)													
32A	305300032A	305300032A:sector2	3367907	5705358	91	100	Kein MHA	TOC	not_defined	D1-Barring	1	100	K 739_495	17	64	7	0	2	2									25032	31101	25032_31101	0	2	668	646															GSM 1800	D (DCS1800)													
32A	305300032A	305300032A:sector3	3367907	5705358	91	100	Kein MHA	TOC	not_defined	D1-Barring	1	260	K 739_495	17	64	7	2	2	4									45032	31101	45032_31101	1	2	717	699															GSM 1800	D (DCS1800)													
33B	305300033B	305300033B:sector1	3357568	5705463	69	671	Kein MHA	BSS-blocked	not_defined	D1-Barring	1	0	930DD85T2E-H	29	84	6	2	2	4									5033	31101	5033_31101																			GSM 1800	D (DCS1800)			Essen , Ruhr	Bocholder Str. 11 - 13	Gewerbegebäude	Thorsten Krüger	Dirk Fischer	Herr Frank Kowalski	Frank Wenner	345990381	On Air	?	-
33B	305300033B	305300033B:sector2	3357568	5705463	69	671	Kein MHA	BSS-blocked	not_defined	D1-Barring	1	120	930DD85T2E-H	29	84	6	2	2	4									25033	31101	25033_31101																			GSM 1800	D (DCS1800)			Essen , Ruhr	Bocholder Str. 11 - 13	Gewerbegebäude	Thorsten Krüger	Dirk Fischer	Herr Frank Kowalski	Frank Wenner	345990381	On Air	?	-
